LGHC Indicator Name,Geography,Year,Age Group,Strata,Strata Name,Numerator,Rate,LGHC Indicator ID,LGHC Target Rate
Asthma ED Visit Rates,Alameda,2013,18 and Over,Total Population,18 and Over,6705,55,7,28
Asthma ED Visit Rates,Amador,2013,18 and Over,Total Population,18 and Over,203,74,7,28
Asthma ED Visit Rates,Butte,2013,18 and Over,Total Population,18 and Over,695,41.6,7,28
Asthma ED Visit Rates,Calaveras,2013,18 and Over,Total Population,18 and Over,162,50,7,28
Asthma ED Visit Rates,California,2013,18 and Over,Total Population,18 and Over,113107,38.8,7,28
Asthma ED Visit Rates,Colusa,2013,18 and Over,Total Population,18 and Over,41,27.5,7,28
Asthma ED Visit Rates,Contra Costa,2013,18 and Over,Total Population,18 and Over,4691,57.2,7,28
Asthma ED Visit Rates,Del Norte,2013,18 and Over,Total Population,18 and Over,91,40.8,7,28
Asthma ED Visit Rates,El Dorado,2013,18 and Over,Total Population,18 and Over,441,33.5,7,28
Asthma ED Visit Rates,Fresno,2013,18 and Over,Total Population,18 and Over,3402,49.8,7,28
Asthma ED Visit Rates,Glenn,2013,18 and Over,Total Population,18 and Over,89,44.3,7,28
Asthma ED Visit Rates,Humboldt,2013,18 and Over,Total Population,18 and Over,757,72.4,7,28
Asthma ED Visit Rates,Imperial,2013,18 and Over,Total Population,18 and Over,580,43.8,7,28
Asthma ED Visit Rates,Inyo,2013,18 and Over,Total Population,18 and Over,60,47.7,7,28
Asthma ED Visit Rates,Kern,2013,18 and Over,Total Population,18 and Over,2845,44.6,7,28
Asthma ED Visit Rates,Kings,2013,18 and Over,Total Population,18 and Over,818,74.3,7,28
Asthma ED Visit Rates,Lake,2013,18 and Over,Total Population,18 and Over,341,71.7,7,28
Asthma ED Visit Rates,Lassen,2013,18 and Over,Total Population,18 and Over,66,22.9,7,28
Asthma ED Visit Rates,Los Angeles,2013,18 and Over,Total Population,18 and Over,29502,38.4,7,28
Asthma ED Visit Rates,Madera,2013,18 and Over,Total Population,18 and Over,337,29.1,7,28
Asthma ED Visit Rates,Marin,2013,18 and Over,Total Population,18 and Over,501,24.8,7,28
Asthma ED Visit Rates,Mariposa,2013,18 and Over,Total Population,18 and Over,46,37,7,28
Asthma ED Visit Rates,Mendocino,2013,18 and Over,Total Population,18 and Over,363,58.7,7,28
Asthma ED Visit Rates,Merced,2013,18 and Over,Total Population,18 and Over,1227,66.4,7,28
Asthma ED Visit Rates,Modoc,2013,18 and Over,Total Population,18 and Over,32,52,7,28
Asthma ED Visit Rates,Mono,2013,18 and Over,Total Population,18 and Over,31,26.9,7,28
Asthma ED Visit Rates,Monterey,2013,18 and Over,Total Population,18 and Over,1107,35.2,7,28
Asthma ED Visit Rates,Napa,2013,18 and Over,Total Population,18 and Over,394,36,7,28
Asthma ED Visit Rates,Nevada,2013,18 and Over,Total Population,18 and Over,281,39.3,7,28
Asthma ED Visit Rates,Orange,2013,18 and Over,Total Population,18 and Over,5931,24.8,7,28
Asthma ED Visit Rates,Placer,2013,18 and Over,Total Population,18 and Over,831,29.6,7,28
Asthma ED Visit Rates,Plumas,2013,18 and Over,Total Population,18 and Over,56,42.8,7,28
Asthma ED Visit Rates,Riverside,2013,18 and Over,Total Population,18 and Over,5541,32.5,7,28
Asthma ED Visit Rates,Sacramento,2013,18 and Over,Total Population,18 and Over,6532,59.5,7,28
Asthma ED Visit Rates,San Benito,2013,18 and Over,Total Population,18 and Over,196,49.4,7,28
Asthma ED Visit Rates,San Bernardino,2013,18 and Over,Total Population,18 and Over,7503,48.8,7,28
Asthma ED Visit Rates,San Diego,2013,18 and Over,Total Population,18 and Over,6939,28.2,7,28
Asthma ED Visit Rates,San Francisco,2013,18 and Over,Total Population,18 and Over,2247,32.8,7,28
Asthma ED Visit Rates,San Joaquin,2013,18 and Over,Total Population,18 and Over,2990,58.4,7,28
Asthma ED Visit Rates,San Luis Obispo,2013,18 and Over,Total Population,18 and Over,542,28.6,7,28
Asthma ED Visit Rates,San Mateo,2013,18 and Over,Total Population,18 and Over,1830,30.9,7,28
Asthma ED Visit Rates,Santa Barbara,2013,18 and Over,Total Population,18 and Over,907,27.5,7,28
Asthma ED Visit Rates,Santa Clara,2013,18 and Over,Total Population,18 and Over,3823,27.1,7,28
Asthma ED Visit Rates,Santa Cruz,2013,18 and Over,Total Population,18 and Over,618,30.8,7,28
Asthma ED Visit Rates,Shasta,2013,18 and Over,Total Population,18 and Over,618,46.1,7,28
Asthma ED Visit Rates,Sierra,2013,18 and Over,Total Population,18 and Over,,,7,28
Asthma ED Visit Rates,Siskiyou,2013,18 and Over,Total Population,18 and Over,132,43.4,7,28
