ID,Featured,Pct_of_Active_(7d)_Teams_with_App_Installed,Active_(7d)_Installed_Teams,Pct_of_Installed_Teams_Using_App,App_Active_(7d)_Teams,App_Active_(7d)_Teams_Last_Week,Net_Growth,Pct_Growth,New,Pct_New,Resurrected,Retained,Pct_Retention,Churned,Pct_Churn,Stale
1,no,0.26,167239,0.30,49359,45135,4224,0.09,6839,0.15,14117,28403,0.63,16732,0.37,112999
2,no,0.23,151886,0.43,65718,61338,4380,0.07,4048,0.07,13135,48535,0.79,12803,0.21,77256
3,no,0.16,105937,0.56,59309,58475,834,0.01,1998,0.03,5098,52213,0.89,6262,0.11,34088
4,no,0.15,99137,0.15,14681,14445,236,0.02,447,0.03,2337,11897,0.82,2548,0.18,16424
5,no,0.15,95338,0.14,13384,12731,653,0.05,1757,0.14,4091,7536,0.59,5195,0.41,30987
6,no,0.11,71896,0.32,23286,23682,-396,-0.02,1127,0.05,3137,19022,0.80,4660,0.20,37545
7,no,0.10,65973,0.14,8894,8544,350,0.04,890,0.10,2351,5653,0.66,2891,0.34,29311
8,no,0.10,63397,0.51,32537,31926,611,0.02,1120,0.04,3184,28233,0.88,3693,0.12,25363
9,yes,0.08,49277,0.41,20335,20118,217,0.01,3217,0.16,2332,14786,0.74,5332,0.27,34376
10,no,0.07,48101,0.99,47419,40815,6604,0.16,928,0.02,8292,38199,0.94,2616,0.06,11166
11,no,0.07,45211,0.31,14146,13786,360,0.03,917,0.07,1114,12115,0.88,1671,0.12,15965
12,no,0.07,44414,0.79,35276,34198,1078,0.03,1283,0.04,2366,31627,0.93,2571,0.08,15055
13,no,0.06,39572,0.39,15440,14904,536,0.04,890,0.06,1780,12770,0.86,2134,0.14,22149
14,yes,0.06,39297,0.13,5214,4888,326,0.07,1663,0.34,2005,1546,0.32,3342,0.68,37150
15,no,0.06,36202,0.46,16584,16567,17,0.00,519,0.03,1992,14073,0.85,2494,0.15,13344
16,no,0.05,34630,0.14,4787,4486,301,0.07,514,0.12,1058,3215,0.72,1271,0.28,13797
17,no,0.05,34071,0.03,1118,918,200,0.22,497,0.54,449,172,0.19,746,0.81,14571
18,no,0.05,32307,0.41,13352,13188,164,0.01,579,0.04,810,11963,0.91,1225,0.09,10337
19,no,0.05,30668,0.55,16971,16884,87,0.01,320,0.02,841,15810,0.94,1074,0.06,5900
20,yes,0.04,26212,0.05,1268,1242,26,0.02,831,0.67,284,153,0.12,1089,0.88,23491
21,yes,0.04,24576,0.13,3301,3343,-42,-0.01,821,0.25,881,1599,0.48,1744,0.52,25412
22,no,0.04,22922,0.59,13502,13432,70,0.01,307,0.02,885,12310,0.92,1122,0.08,6133
23,no,0.03,20196,0.06,1173,1195,-22,-0.02,44,0.04,100,1029,0.86,166,0.14,2422
24,no,0.03,19438,0.12,2416,2100,316,0.15,326,0.16,715,1375,0.66,725,0.35,8854
25,no,0.03,18481,0.16,2876,2797,79,0.03,198,0.07,359,2319,0.83,478,0.17,4956
26,yes,0.03,18095,0.32,5862,5796,66,0.01,183,0.03,277,5402,0.93,394,0.07,5010
27,no,0.03,16693,0.05,766,684,82,0.12,181,0.27,336,249,0.36,435,0.64,6310
28,no,0.02,14587,0.17,2544,2525,19,0.01,296,0.12,549,1699,0.67,826,0.33,8443
29,no,0.02,12889,0.41,5306,4928,378,0.08,497,0.10,990,3819,0.78,1109,0.23,7017
30,no,0.02,11920,0.41,4852,4778,74,0.02,74,0.02,797,3981,0.83,797,0.17,3265
31,no,0.02,11672,0.52,6115,5941,174,0.03,168,0.03,504,5443,0.92,498,0.08,3683
32,no,0.02,11502,0.45,5200,4834,366,0.08,388,0.08,980,3832,0.79,1002,0.21,8562
33,yes,0.02,10851,0.10,1122,1027,95,0.09,188,0.18,318,616,0.60,411,0.40,5758
34,yes,0.02,10573,0.85,9017,8849,168,0.02,351,0.04,384,8282,0.94,567,0.06,4147
35,no,0.02,10495,0.11,1165,1127,38,0.03,185,0.16,339,641,0.57,486,0.43,2654
36,no,0.02,10153,0.50,5062,5003,59,0.01,103,0.02,235,4724,0.94,279,0.06,2763
37,no,0.02,10094,0.38,3801,3765,36,0.01,104,0.03,723,2974,0.79,791,0.21,3500
38,no,0.01,9159,0.46,4230,3369,861,0.26,670,0.20,1131,2429,0.72,940,0.28,8928
39,yes,0.01,8359,1.02,8523,8511,12,0.00,251,0.03,360,7912,0.93,599,0.07,4320
40,no,0.01,7029,0.62,4382,4386,-4,0.00,98,0.02,330,3954,0.90,432,0.10,1999
41,no,0.01,6620,0.36,2400,2289,111,0.05,49,0.02,574,1777,0.78,512,0.22,1662
42,no,0.01,6569,0.39,2554,2545,9,0.00,73,0.03,385,2096,0.82,449,0.18,1869
43,yes,0.01,6476,0.83,5367,4765,602,0.13,118,0.03,955,4294,0.90,471,0.10,4174
44,no,0.01,6137,0.43,2638,2672,-34,-0.01,95,0.04,281,2262,0.85,410,0.15,2045
45,no,0.01,6097,0.51,3112,3029,83,0.03,148,0.05,264,2700,0.89,329,0.11,1673
46,no,0.01,5884,0.40,2343,2391,-48,-0.02,51,0.02,133,2159,0.90,232,0.10,1731
47,yes,0.01,5760,0.46,2635,2676,-41,-0.02,176,0.07,265,2194,0.82,482,0.18,4150
48,no,0.01,5699,0.15,842,788,54,0.07,203,0.26,303,336,0.43,452,0.57,4820
49,no,0.01,5664,0.43,2433,2423,10,0.00,44,0.02,385,2004,0.83,419,0.17,1744
50,yes,0.01,5158,0.40,2076,1950,126,0.07,187,0.10,465,1424,0.73,526,0.27,2938
51,yes,0.01,4920,1.00,4922,4692,230,0.05,308,0.07,384,4230,0.90,462,0.10,2811
52,no,0.01,4865,0.12,591,548,43,0.08,96,0.18,171,324,0.59,224,0.41,2163
53,yes,0.01,4700,0.68,3188,3116,72,0.02,45,0.01,264,2879,0.92,237,0.08,845
54,no,0.01,4531,0.22,982,891,91,0.10,96,0.11,180,706,0.79,185,0.21,1319
55,no,0.01,4451,0.76,3387,3315,72,0.02,96,0.03,179,3112,0.94,203,0.06,1259
56,no,0.01,4420,0.61,2707,2633,74,0.03,71,0.03,236,2400,0.91,233,0.09,855
57,no,0.01,4192,0.48,2013,2045,-32,-0.02,46,0.02,204,1763,0.86,282,0.14,1509
58,no,0.01,4072,0.38,1564,1563,1,0.00,33,0.02,89,1442,0.92,121,0.08,486
59,no,0.01,4007,0.10,405,347,58,0.17,253,0.73,93,59,0.17,288,0.83,3038
60,no,0.01,3931,0.29,1127,1907,-780,-0.41,126,0.07,47,954,0.50,953,0.50,2705
61,yes,0.01,3901,1.02,3986,3604,382,0.11,618,0.17,188,3180,0.88,424,0.12,1259
62,yes,0.01,3841,0.34,1306,1256,50,0.04,80,0.06,283,943,0.75,313,0.25,2334
63,no,0.01,3711,0.54,1988,1914,74,0.04,10,0.01,303,1675,0.88,239,0.13,1635
64,no,0.01,3667,0.81,2969,2823,146,0.05,162,0.06,185,2622,0.93,201,0.07,2905
65,no,0.01,3535,0.36,1278,1315,-37,-0.03,24,0.02,215,1039,0.79,276,0.21,2066
66,yes,0.00,3193,0.99,3169,3154,15,0.01,80,0.03,140,2949,0.94,205,0.07,1370
67,no,0.00,3207,0.60,1932,2790,-858,-0.31,131,0.05,126,1675,0.60,1115,0.40,1866
68,no,0.00,3200,0.40,1271,1301,-30,-0.02,0,0.00,62,1209,0.93,92,0.07,403
69,no,0.00,3195,0.56,1795,1722,73,0.04,50,0.03,185,1560,0.91,162,0.09,716
70,no,0.00,3095,0.17,519,488,31,0.06,132,0.27,173,214,0.44,274,0.56,2141
71,no,0.00,3114,1.02,3175,2821,354,0.13,185,0.07,564,2426,0.86,395,0.14,1503
72,no,0.00,3009,0.65,1940,1862,78,0.04,50,0.03,226,1664,0.89,198,0.11,853
73,no,0.00,2977,0.12,356,348,8,0.02,116,0.33,112,128,0.37,220,0.63,2512
74,no,0.00,2975,0.35,1025,919,106,0.12,140,0.15,179,706,0.77,213,0.23,1812
75,no,0.00,2906,0.47,1352,1353,-1,0.00,0,0.00,146,1206,0.89,147,0.11,910
