"business_id","Score","date","type"
10,,"20140807","Reinspection/Followup"
10,94,"20140729","Routine - Unscheduled"
10,,"20140124","Reinspection/Followup"
10,92,"20140114","Routine - Unscheduled"
19,94,"20141110","Routine - Unscheduled"
19,94,"20140214","Routine - Unscheduled"
19,96,"20130904","Routine - Unscheduled"
24,96,"20160311","Routine - Unscheduled"
24,96,"20141124","Routine - Unscheduled"
24,96,"20140612","Routine - Unscheduled"
24,100,"20131118","Routine - Unscheduled"
31,98,"20151204","Routine - Unscheduled"
31,100,"20140908","Routine - Unscheduled"
45,78,"20160104","Routine - Unscheduled"
45,,"20151230","Non-inspection site visit"
45,94,"20140909","Routine - Unscheduled"
45,94,"20131209","Routine - Unscheduled"
48,92,"20140523","Routine - Unscheduled"
48,90,"20131101","Routine - Unscheduled"
50,,"20150513","Non-inspection site visit"
50,100,"20140402","Routine - Unscheduled"
50,100,"20131002","Routine - Unscheduled"
50,,"20130409","Reinspection/Followup"
54,100,"20150526","Routine - Unscheduled"
54,92,"20140325","Routine - Unscheduled"
54,96,"20131008","Routine - Unscheduled"
56,,"20151230","Reinspection/Followup"
56,,"20151230","Complaint Reinspection/Followup"
56,88,"20151222","Routine - Unscheduled"
56,,"20151222","Complaint"
56,98,"20141117","Routine - Unscheduled"
56,,"20140912","Non-inspection site visit"
56,100,"20140423","Routine - Unscheduled"
56,94,"20131021","Routine - Unscheduled"
56,,"20130724","Complaint"
58,,"20140908","Non-inspection site visit"
58,,"20140805","Reinspection/Followup"
58,78,"20140725","Routine - Unscheduled"
58,,"20131011","Reinspection/Followup"
58,80,"20131001","Routine - Unscheduled"
61,92,"20150827","Routine - Unscheduled"
61,94,"20140530","Routine - Unscheduled"
61,92,"20131028","Routine - Unscheduled"
66,98,"20160322","Routine - Unscheduled"
66,100,"20150828","Routine - Unscheduled"
66,98,"20141119","Routine - Unscheduled"
66,91,"20140519","Routine - Unscheduled"
66,98,"20140210","Routine - Unscheduled"
66,100,"20130808","Routine - Unscheduled"
67,87,"20160401","Routine - Unscheduled"
67,90,"20150520","Routine - Unscheduled"
67,,"20140318","Reinspection/Followup"
67,94,"20140205","Routine - Unscheduled"
67,,"20131025","Complaint"
67,,"20130805","Reinspection/Followup"
67,98,"20130801","Routine - Unscheduled"
71,100,"20150930","Routine - Unscheduled"
71,100,"20140624","Routine - Unscheduled"
73,,"20150922","Reinspection/Followup"
73,,"20150827","Reinspection/Followup"
73,,"20150720","Reinspection/Followup"
73,85,"20150717","Routine - Unscheduled"
73,92,"20140522","Routine - Unscheduled"
73,92,"20131220","Routine - Unscheduled"
73,92,"20130524","Routine - Unscheduled"
76,100,"20160311","Routine - Unscheduled"
76,100,"20141124","Routine - Unscheduled"
76,96,"20140612","Routine - Unscheduled"
76,98,"20131118","Routine - Unscheduled"
77,91,"20160311","Routine - Unscheduled"
77,96,"20141124","Routine - Unscheduled"
77,94,"20140612","Routine - Unscheduled"
77,100,"20131118","Routine - Unscheduled"
80,100,"20140520","Routine - Unscheduled"
80,86,"20131204","Routine - Unscheduled"
81,,"20150504","Reinspection/Followup"
81,96,"20150330","Routine - Unscheduled"
81,,"20150316","Non-inspection site visit"
81,92,"20140210","Routine - Unscheduled"
81,,"20130517","Reinspection/Followup"
81,96,"20130417","Routine - Unscheduled"
85,,"20150729","Reinspection/Followup"
85,76,"20150727","Routine - Unscheduled"
85,,"20140805","Reinspection/Followup"
85,,"20140611","Reinspection/Followup"
85,88,"20140603","Routine - Unscheduled"
85,,"20130919","Reinspection/Followup"
85,86,"20130909","Routine - Unscheduled"
88,,"20151006","Reinspection/Followup"
88,89,"20150824","Routine - Unscheduled"
88,,"20141110","Reinspection/Followup"
88,,"20141024","Reinspection/Followup"
88,,"20141017","Reinspection/Followup"
88,,"20141016","Reinspection/Followup"
88,74,"20141014","Routine - Unscheduled"
88,,"20140319","Reinspection/Followup"
88,78,"20140211","Routine - Unscheduled"
88,,"20130528","Reinspection/Followup"
88,,"20130501","Reinspection/Followup"
88,85,"20130415","Routine - Unscheduled"
95,88,"20151210","Routine - Unscheduled"
95,85,"20141009","Routine - Unscheduled"
95,,"20140523","Reinspection/Followup"
95,86,"20140506","Routine - Unscheduled"
95,,"20130523","Reinspection/Followup"
95,90,"20130515","Routine - Unscheduled"
98,96,"20160316","Routine - Unscheduled"
98,94,"20150629","Routine - Unscheduled"
98,96,"20140324","Routine - Unscheduled"
98,98,"20130819","Routine - Unscheduled"
99,,"20150818","Reinspection/Followup"
99,76,"20150811","Routine - Unscheduled"
101,96,"20140902","Routine - Unscheduled"
101,100,"20131030","Routine - Unscheduled"
