"business_id","date","ViolationTypeID","risk_category","description"
10,"20140114",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
10,"20140114",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
10,"20140114",103145,"Low Risk","Improper storage of equipment utensils or linens"
10,"20140729",103129,"Moderate Risk","Insufficient hot water or running water"
10,"20140729",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
19,"20140214",103156,"Low Risk","Permit license or inspection report not posted"
19,"20140214",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
19,"20141110",103145,"Low Risk","Improper storage of equipment utensils or linens"
19,"20141110",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
19,"20130904",103133,"Moderate Risk","Foods not protected from contamination"
24,"20160311",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
24,"20160311",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
24,"20140612",103145,"Low Risk","Improper storage of equipment utensils or linens"
24,"20140612",103156,"Low Risk","Permit license or inspection report not posted"
24,"20141124",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
31,"20151204",103157,"Low Risk","Food safety certificate or food handler card not available"
45,"20140909",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
45,"20140909",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
45,"20140909",103145,"Low Risk","Improper storage of equipment utensils or linens"
45,"20131209",103157,"Low Risk","Food safety certificate or food handler card not available"
45,"20131209",103120,"Moderate Risk","Moderate risk food holding temperature "
45,"20160104",103118,"Moderate Risk","Employee eating or smoking"
45,"20160104",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
45,"20160104",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
45,"20160104",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
45,"20160104",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
45,"20160104",103142,"Low Risk","Unclean nonfood contact surfaces"
45,"20160104",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
48,"20140523",103133,"Moderate Risk","Foods not protected from contamination"
48,"20140523",103161,"Low Risk","Low risk vermin infestation"
48,"20140523",103142,"Low Risk","Unclean nonfood contact surfaces"
48,"20131101",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
48,"20131101",103142,"Low Risk","Unclean nonfood contact surfaces"
48,"20131101",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
48,"20131101",103138,"Low Risk","Improper storage use or identification of toxic substances"
54,"20140325",103130,"Moderate Risk","Inadequate sewage or wastewater disposal"
54,"20140325",103120,"Moderate Risk","Moderate risk food holding temperature "
54,"20131008",103120,"Moderate Risk","Moderate risk food holding temperature "
56,"20141117",103156,"Low Risk","Permit license or inspection report not posted"
56,"20131021",103145,"Low Risk","Improper storage of equipment utensils or linens"
56,"20131021",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
56,"20131021",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
56,"20151222",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
56,"20151222",103120,"Moderate Risk","Moderate risk food holding temperature "
56,"20151222",103133,"Moderate Risk","Foods not protected from contamination"
58,"20140725",103109,"High Risk","Unclean or unsanitary food contact surfaces"
58,"20140725",103114,"High Risk","High risk vermin infestation"
58,"20140725",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
58,"20140725",103120,"Moderate Risk","Moderate risk food holding temperature "
58,"20131001",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
58,"20131001",103131,"Moderate Risk","Moderate risk vermin infestation"
58,"20131001",103120,"Moderate Risk","Moderate risk food holding temperature "
58,"20131001",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
58,"20131001",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
61,"20140530",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
61,"20140530",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
61,"20140530",103142,"Low Risk","Unclean nonfood contact surfaces"
61,"20131028",103120,"Moderate Risk","Moderate risk food holding temperature "
61,"20131028",103133,"Moderate Risk","Foods not protected from contamination"
61,"20150827",103133,"Moderate Risk","Foods not protected from contamination"
61,"20150827",103142,"Low Risk","Unclean nonfood contact surfaces"
61,"20150827",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
66,"20160322",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
66,"20140210",103149,"Low Risk","Wiping cloths not clean or properly stored or inadequate sanitizer"
66,"20140519",103112,"High Risk","No hot water or running water"
66,"20140519",103165,"Low Risk","No plan review or Building Permit"
66,"20141119",103143,"Low Risk","Inadequate warewashing facilities or equipment"
67,"20160401",103109,"High Risk","Unclean or unsanitary food contact surfaces"
67,"20160401",103144,"Low Risk","Unapproved or unmaintained equipment or utensils"
67,"20160401",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
67,"20160401",103161,"Low Risk","Low risk vermin infestation"
67,"20140205",103161,"Low Risk","Low risk vermin infestation"
67,"20140205",103116,"Moderate Risk","Inadequate food safety knowledge or lack of certified food safety manager"
67,"20150520",103119,"Moderate Risk","Inadequate and inaccessible handwashing facilities"
67,"20150520",103124,"Moderate Risk","Inadequately cleaned or sanitized food contact surfaces"
67,"20150520",103145,"Low Risk","Improper storage of equipment utensils or linens"
67,"20130801",103154,"Low Risk","Unclean or degraded floors walls or ceilings"
73,"20131220",103150,"Low Risk","Improper or defective plumbing"
73,"20131220",103145,"Low Risk","Improper storage of equipment utensils or linens"
