Date,Population
1-Jul-34,126.37
1-Jul-35,127.25
1-Jul-36,128.05
1-Jul-37,128.82
1-Jul-38,129.82
1-Jul-39,130.88
1-Jul-40,132.12
1-Jul-41,133.4
1-Jul-42,134.86
1-Jul-43,136.74
1-Jul-44,138.4
1-Jul-45,139.93
1-Jul-46,141.39
1-Jul-47,144.13
1-Jul-48,146.63
1-Jul-49,149.19
1-Jul-50,152.27
1-Jul-51,154.88
1-Jul-52,157.55
1-Jul-53,160.18
1-Jul-54,163.03
1-Jul-55,165.93
1-Jul-56,168.9
1-Jul-57,171.98
1-Jul-58,174.88
1-Jul-59,177.83
1-Jul-60,180.67
1-Jul-61,183.69
1-Jul-62,186.54
1-Jul-63,189.24
1-Jul-64,191.89
1-Jul-65,194.3
1-Jul-66,196.56
1-Jul-67,198.71
1-Jul-68,200.71
1-Jul-69,202.68
1-Jul-70,205.05
1-Jul-71,207.66
1-Jul-72,209.9
1-Jul-73,211.91
1-Jul-74,213.85
1-Jul-75,215.97
1-Jul-76,218.04
1-Jul-77,220.24
1-Jul-78,222.58
1-Jul-79,225.06
1-Jul-80,227.22
1-Jul-81,229.47
1-Jul-82,231.66
1-Jul-83,233.79
1-Jul-84,235.82
1-Jul-85,237.92
1-Jul-86,240.13
1-Jul-87,242.29
1-Jul-88,244.5
1-Jul-89,246.82
1-Jul-90,249.62
1-Jul-91,252.98
1-Jul-92,256.51
1-Jul-93,259.92
1-Jul-94,263.13
1-Jul-95,266.28
1-Jul-96,269.39
1-Jul-97,272.65
1-Jul-98,275.85
1-Jul-99,279.04
1-Jul-00,282.16
1-Jul-01,284.97
1-Jul-02,287.63
1-Jul-03,290.11
1-Jul-04,292.81
1-Jul-05,295.52
1-Jul-06,298.38
1-Jul-07,301.23
1-Jul-08,304.09
1-Jul-09,306.77
1-Jul-10,309.35
1-Jul-11,311.72
1-Jul-12,314.11
1-Jul-13,316.5
1-Jul-14,318.86
1-Apr-15,320.61
